timestamps,model_name,img_size,learning_rate,batch_size,epochs,optimizer,scheduler,warmup_epoch,weight_decay,k_flod,start_fold,label_smooth,class_weight,clip_gradient,dropout,loss,comment,best_epoch,best_value
2021-11-15_16-03-43,densenet,32-280,0.001,1,100,SGD,default-0.1-3,0,0,5,0,0,None,0,0.5,CTC,,1,0
2021-11-15_16-04-32,densenet,32-280,0.001,2,100,SGD,default-0.1-3,0,0,5,0,0,None,0,0.5,CTC,,1,0
2021-11-15_16-13-34,densenet,32-280,0.001,2,100,SGD,default-0.1-3,0,0,5,0,0,None,0,0.5,CTC,,1,0
2021-11-15_16-14-58,densenet,32-280,0.001,2,100,SGD,default-0.1-5,0,0,5,0,0,None,0,0.5,CTC,,1,0
2021-11-15_21-50-43,densenet,32-280,0.01,128,20,SGD,default-0.1-3,0,0.0001,0,0.0,CTC,,1,0
2021-11-16_09-46-52,densenet,32-280,0.01,128,20,SGD,default-0.1-3,0,0.0001,0,0.0,CTC,,1,0.0
2021-11-18_23-48-51,dense,32-840,0.01,32,20,SGD,default-0.1-2,0,0.0001,0,0.0,CTC,,4,0.003236245954692557
2021-11-18_23-54-56,dense,32-840,0.01,32,100,SGD,default-0.1-4,0,0.0001,0,0.0,CTC,,6,0.003236245954692557
2021-11-19_08-50-54,dense,32-840,0.01,32,100,SGD,default-0.1-4,0,0.0001,0,0.0,CTC,,1,0.0
2021-11-19_09-54-12,dense,32-840,0.01,32,100,SGD,default-0.1-5,0,0.0001,0,0.0,CTC,,70,0.6504854368932039
2021-11-19_10-53-03,dense,32-840,0.01,32,100,SGD,default-0.1-5,0,0.0001,0,0.0,CTC,,61,0.686084142394822
2021-11-19_12-44-28,dense,32-840,0.01,32,200,SGD,default-0.1-5,0,0.0001,0,0.0,CTC,,49,0.8201634877384196
2021-11-19_15-04-21,dense,32-840,0.01,32,200,SGD,default-0.1-5,0,0.0001,0,0.0,CTC,,80,0.9128065395095368
2021-11-19_17-48-14,dense,32-840,0.01,32,200,SGD,default-0.1-5,0,0.0001,0,0.0,CTC,,69,0.8310626702997275
2022-04-24_08-46-46,dense,32-280,0.0005,128,10,Adam,step-1-0.4,0,0.0,0,0.0,CTC,,4,0.8745376955903271
2022-04-25_15-13-29,mobilenetv2,32-280,0.001,256,10,Adam,step-1-0.4,0,0.0,0,0.0,CTC,,5,0.9274876847290641
2022-04-25_15-15-22,mobilenetv2,32-280,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,5,0.9489655172413793
2022-04-26_10-06-34,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.961871921182266
2022-04-26_15-10-37,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.9611822660098522
2022-04-27_01-49-36,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,7,0.9316582914572864
2022-04-27_02-18-52,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,10,0.9323618090452261
2022-04-27_13-05-27,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.8929136975455265
2022-04-27_13-06-49,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.8960807600950119
2022-04-28_01-03-01,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.922901821060966
2022-04-28_01-01-52,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.9267616785431513
2022-04-28_09-05-57,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.9235946159936659
2022-04-28_09-06-36,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,9,0.9183491686460807
2022-04-29_00-32-06,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,10,0.9241884402216943
2022-04-29_00-30-55,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0,0,0.0,CTC,,10,0.9195368171021377
2022-04-29_08-10-36,mobilenetv2,40-350,0.001,256,10,Adam,multi-4,8-0.1,0,0.0002,0,0.0,CTC,,10,0.922209026128266
2022-04-29_08-10-53,mobilenetv2,40-350,0.002,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,9,0.9254750593824228
2022-04-29_15-38-27,mobilenetv2,40-350,0.003,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,10,0.928840063341251
2022-04-29_15-43-34,mobilenetv2,40-350,0.004,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,9,0.9292359461599367
2022-04-30_01-26-11,mobilenetv2,40-350,0.006,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,9,0.930720506730008
2022-04-30_01-26-02,mobilenetv2,40-350,0.005,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,9,0.9271575613618369
2022-05-05_01-04-39,mobilenetv2,40-350,0.007,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,9,0.9331947743467933
2022-05-05_02-06-10,mobilenetv2,40-350,0.008,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,9,0.9297307996832938
2022-05-05_13-55-20,mobilenetv2,40-350,0.01,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,10,0.9361443692521256
2022-05-05_13-56-07,mobilenetv2,40-350,0.007,256,10,Adam,multi-4,8-0.1,0,0.0001,0,0.0,CTC,,10,0.9366649314593094
2022-05-06_00-28-56,mobilenetv2,40-350,0.007,256,10,Adam,SGDR-10-2,0,0.0001,0,0.0,CTC,,10,0.9433454797848343
2022-05-06_05-34-19,mobilenetv2,40-350,0.007,256,10,Adam,multi-4,8-0.1,0,0.0005,0,0.0,CTC,,10,0.939614783966684
2022-05-06_12-07-26,mobilenetv2,40-350,0.007,256,10,Adam,SGDR-10-2,0,0.0005,0,0.0,CTC,,10,0.9429116779455144
2022-05-07_05-49-25,mobilenetv2,40-350,0.007,256,10,Adam,SGDR-10-2,0,0.0001,0,0.0,CTC,,9,0.9525487836327688
2022-05-07_05-49-43,mobilenetv2,40-350,0.007,256,10,Adam,SGDR-10-2,0,0.0002,0,0.0,CTC,,10,0.951861084844838
